SamplingHz:  1000,Column1,_1,_2,_3
Number Samples:  3800,,,,
Colors: ,Magenta,Cyan,Yellow,K (Black)
160,0.0869,0.1036,0.149,0.0998
161,0.2026,0.1036,0.149,0.0998
162,0.1448,0.1615,0.149,0.1577
163,0.0869,0.1615,0.149,0.1577
164,0.0869,0.1615,0.149,0.0998
165,0.0869,0.1615,0.0911,0.1577
166,0.1448,0.1615,0.149,0.1577
167,0.1448,0.1036,0.0911,0.2156
168,0.2026,0.1036,0.149,0.0998
169,0.1448,0.1036,0.149,0.1577
170,0.1448,0.1615,0.0911,0.2156
171,0.1448,0.1036,0.0911,0.1577
172,0.0869,0.1036,0.149,0.0998
173,0.0869,0.1615,0.0911,0.1577
174,0.1448,0.1036,0.0332,0.0998
175,0.0869,0.1036,0.0911,0.1577
176,0.1448,0.1615,0.0911,0.1577
177,0.2026,0.1615,0.149,0.0998
178,0.0869,0.1615,0.0911,0.1577
179,0.1448,0.1036,0.149,0.2156
180,0.1448,0.1615,0.0911,0.1577
181,0.1448,0.1615,0.0911,0.1577
182,0.1448,0.1615,0.0911,0.0998
183,0.0869,0.1615,0.149,0.0998
184,0.1448,0.1615,0.0911,0.1577
185,0.1448,0.1036,0.149,0.0998
186,0.2026,0.1036,0.149,0.0998
187,0.1448,0.1036,0.2069,0.1577
188,0.1448,0.1615,0.149,0.1577
189,0.0869,0.1615,0.149,0.0998
190,0.1448,0.1615,0.149,0.0998
191,0.1448,0.1615,0.149,0.0998
192,0.0869,0.1615,0.0911,0.1577
193,0.0869,0.1036,0.149,0.0998
194,0.2026,0.1615,0.0911,0.1577
195,0.0869,0.1036,0.149,0.1577
196,0.1448,0.1615,0.149,0.1577
197,0.1448,0.1615,0.149,0.1577
198,0.1448,0.1036,0.149,0.1577
199,0.1448,0.1615,0.0911,0.1577
200,0.1448,0.1615,0.149,0.0998
201,0.1448,0.1615,0.149,0.0998
202,0.2026,0.1615,0.0911,0.0998
203,0.1448,0.1615,0.149,0.1577
204,0.1448,0.1615,0.149,0.1577
205,0.0869,0.1615,0.0911,0.1577
206,0.1448,0.1615,0.0911,0.0998
207,0.2026,0.1615,0.149,0.1577
208,0.0869,0.1036,0.149,0.1577
209,0.1448,0.1036,0.0911,0.1577
210,0.1448,0.1036,0.149,0.0998
211,0.1448,0.1615,0.149,0.1577
212,0.0869,0.1036,0.149,0.1577
213,0.1448,0.1036,0.149,0.1577
214,0.0869,0.1615,0.0911,0.1577
215,0.1448,0.1036,0.149,0.1577
216,0.0869,0.1036,0.149,0.1577
217,0.0869,0.1036,0.149,0.0998
218,0.1448,0.1036,0.0911,0.1577
219,0.1448,0.1036,0.0911,0.0998
220,0.0869,0.1036,0.0911,0.0998
221,0.2026,0.1036,0.149,0.0998
222,0.1448,0.1036,0.149,0.1577
223,0.1448,0.1036,0.149,0.0998
224,0.1448,0.1036,0.0911,0.0998
225,0.1448,0.1615,0.149,0.1577
226,0.1448,0.1615,0.0911,0.0998
227,0.0869,0.1615,0.149,0.0998
228,0.0869,0.2194,0.149,0.1577
229,0.0869,0.1615,0.2069,0.1577
230,0.1448,0.1615,0.149,0.1577
231,0.0869,0.1615,0.149,0.1577
232,0.0869,0.1036,0.0911,0.1577
233,0.1448,0.1615,0.0911,0.0998
234,0.0869,0.1615,0.0911,0.0998
235,0.0869,0.1615,0.149,0.0419
236,0.1448,0.1615,0.149,0.1577
237,0.2026,0.1615,0.0911,0.1577
238,0.1448,0.1615,0.149,0.1577
239,0.0869,0.1036,0.0911,0.0419
240,0.1448,0.1615,0.149,0.0998
241,0.1448,0.1036,0.149,0.1577
242,0.0869,0.1615,0.0911,0.1577
243,0.1448,0.1036,0.0911,0.0998
244,0.2026,0.1036,0.2069,0.0998
245,0.1448,0.0457,0.0911,0.1577
246,0.0869,0.1615,0.0911,0.0998
247,0.1448,0.1615,0.0911,0.0998
248,0.1448,0.1036,0.0911,0.0998
249,0.029,0.1615,0.0911,0.0998
250,0.0869,0.1036,0.0911,0.1577
251,0.1448,0.1615,0.149,0.0998
252,0.0869,0.1615,0.149,0.0998
253,0.0869,0.1036,0.0911,0.1577
254,0.1448,0.1615,0.0911,0.1577
255,0.1448,0.1036,0.0911,0.1577
256,0.1448,0.1615,0.149,0.0998
257,0.0869,0.1036,0.0911,0.0998
258,0.1448,0.1036,0.149,0.0998
259,0.1448,0.1615,0.0911,0.0998
260,0.0869,0.1036,0.0911,0.1577
261,0.0869,0.1036,0.149,0.0998
262,0.2026,0.1036,0.149,0.0998
263,0.029,0.1036,0.149,0.1577
264,0.0869,0.1036,0.0911,0.1577
265,0.1448,0.1036,0.0911,0.0998
266,0.0869,0.1615,0.0911,0.0419
267,0.1448,0.1615,0.149,0.1577
268,0.0869,0.1615,0.2069,0.0998
269,0.0869,0.1615,0.149,0.1577
270,0.1448,0.1615,0.0911,0.1577
271,0.1448,0.1036,0.149,0.1577
272,0.1448,0.1036,0.0911,0.0998
273,0.1448,0.1036,0.0911,0.1577
274,0.1448,0.1615,0.0911,0.1577
275,0.1448,0.1036,0.2069,0.1577
276,0.1448,0.1036,0.149,0.1577
277,0.0869,0.1615,0.149,0.1577
278,0.1448,0.1615,0.0911,0.0998
279,0.1448,0.1615,0.2069,0.0998
280,0.1448,0.1036,0.2069,0.0998
281,0.1448,0.1036,0.2069,0.1577
282,0.1448,0.1036,0.149,0.1577
283,0.1448,0.1036,0.149,0.1577
284,0.1448,0.1036,0.0911,0.0998
285,0.1448,0.1036,0.149,0.0998
286,0.1448,0.1615,0.149,0.0419
287,0.1448,0.1615,0.149,0.1577
288,0.0869,0.1615,0.0911,0.2156
289,0.1448,0.1036,0.149,0.0998
290,0.1448,0.1036,0.149,0.0998
291,0.1448,0.1615,0.0911,0.1577
292,0.0869,0.1036,0.0911,0.0998
293,0.0869,0.1615,0.149,0.0998
294,0.1448,0.1615,0.149,0.1577
295,0.1448,0.1615,0.0911,0.1577
296,0.1448,0.1036,0.149,0.0998
297,0.0869,0.1036,0.149,0.1577
298,0.1448,0.1615,0.0911,0.1577
299,0.0869,0.1036,0.0911,0.1577
300,0.1448,0.1615,0.0911,0.0998
301,0.0869,0.1036,0.0911,0.1577
302,0.1448,0.1036,0.0911,0.1577
303,0.1448,0.1036,0.0911,0.1577
304,0.0869,0.1615,0.149,0.0998
305,0.1448,0.1036,0.149,0.0419
306,0.1448,0.1615,0.0911,0.1577
307,0.0869,0.1615,0.149,0.1577
308,0.1448,0.1615,0.149,0.1577
309,0.1448,0.1615,0.149,0.0998
310,0.1448,0.1036,0.149,0.1577
311,0.1448,0.1615,0.149,0.1577
312,0.1448,0.1615,0.149,0.0998
313,0.0869,0.1036,0.149,0.0998
314,0.1448,0.1036,0.149,0.1577
