SamplingHz:  1000,Column1,_1,_2,_3
Number Samples:  3800,,,,
Colors: ,Magenta,Cyan,Yellow,K (Black)
 233,.1448,.1615,.0911,0.0998
 234,.0869,.1615,.0911,0.0998
 235,.0869,.1615,.1490,0.0419
 236,.1448,.1615,.1490,0.1577
 237,.2026,.1615,.0911,0.1577
 238,.1448,.1615,.1490,0.1577
 239,.0869,.1036,.0911,0.0419
 240,.1448,.1615,.1490,0.0998
 241,.1448,.1036,.1490,0.1577
 242,.0869,.1615,.0911,0.1577
 243,.1448,.1036,.0911,0.0998
 244,.2026,.1036,.2069,0.0998
 245,.1448,.0457,.0911,0.1577
 246,.0869,.1615,.0911,0.0998
 247,.1448,.1615,.0911,0.0998
 248,.1448,.1036,.0911,0.0998
 249,.0290,.1615,.0911,0.0998
 250,.0869,.1036,.0911,0.1577
 251,.1448,.1615,.1490,0.0998
 252,.0869,.1615,.1490,0.0998
 253,.0869,.1036,.0911,0.1577
 254,.1448,.1615,.0911,0.1577
 255,.1448,.1036,.0911,0.1577
 256,.1448,.1615,.1490,0.0998
 257,.0869,.1036,.0911,0.0998
 258,.1448,.1036,.1490,0.0998
 259,.1448,.1615,.0911,0.0998
 260,.0869,.1036,.0911,0.1577
 261,.0869,.1036,.1490,0.0998
 262,.2026,.1036,.1490,0.0998
 263,.0290,.1036,.1490,0.1577
 264,.0869,.1036,.0911,0.1577
 265,.1448,.1036,.0911,0.0998
 266,.0869,.1615,.0911,0.0419
 267,.1448,.1615,.1490,0.1577
 268,.0869,.1615,.2069,0.0998
 269,.0869,.1615,.1490,0.1577
 270,.1448,.1615,.0911,0.1577
 271,.1448,.1036,.1490,0.1577
 272,.1448,.1036,.0911,0.0998
 273,.1448,.1036,.0911,0.1577
 274,.1448,.1615,.0911,0.1577
 275,.1448,.1036,.2069,0.1577
 276,.1448,.1036,.1490,0.1577
 277,.0869,.1615,.1490,0.1577
 278,.1448,.1615,.0911,0.0998
 279,.1448,.1615,.2069,0.0998
 280,.1448,.1036,.2069,0.0998
 281,.1448,.1036,.2069,0.1577
 282,.1448,.1036,.1490,0.1577
 283,.1448,.1036,.1490,0.1577
 284,.1448,.1036,.0911,0.0998
 285,.1448,.1036,.1490,0.0998
 286,.1448,.1615,.1490,0.0419
 287,.1448,.1615,.1490,0.1577
 288,.0869,.1615,.0911,0.2156
 289,.1448,.1036,.1490,0.0998
 290,.1448,.1036,.1490,0.0998
 291,.1448,.1615,.0911,0.1577
 292,.0869,.1036,.0911,0.0998
 293,.0869,.1615,.1490,0.0998
 294,.1448,.1615,.1490,0.1577
 295,.1448,.1615,.0911,0.1577
 296,.1448,.1036,.1490,0.0998
 297,.0869,.1036,.1490,0.1577
 298,.1448,.1615,.0911,0.1577
 299,.0869,.1036,.0911,0.1577
 300,.1448,.1615,.0911,0.0998
 301,.0869,.1036,.0911,0.1577
 302,.1448,.1036,.0911,0.1577
 303,.1448,.1036,.0911,0.1577
 304,.0869,.1615,.1490,0.0998
 305,.1448,.1036,.1490,0.0419
 306,.1448,.1615,.0911,0.1577
 307,.0869,.1615,.1490,0.1577
 308,.1448,.1615,.1490,0.1577
 309,.1448,.1615,.1490,0.0998
 310,.1448,.1036,.1490,0.1577
 311,.1448,.1615,.1490,0.1577
 312,.1448,.1615,.1490,0.0998
 313,.0869,.1036,.1490,0.0998
 314,.1448,.1036,.1490,0.1577
 315,.1448,.1615,.1490,0.0998
 316,.0869,.1615,.1490,0.1577
 317,.0869,.2194,.1490,0.1577
 318,.1448,.1615,.1490,0.1577
 319,.1448,.1036,.1490,0.1577
 320,.1448,.1615,.0911,0.0998
 321,.1448,.1036,.0911,0.1577
 322,.1448,.1615,.1490,0.0998
 323,.1448,.1615,.1490,0.0998
 324,.1448,.1036,.1490,0.1577
 325,.1448,.1036,.1490,0.0998
 326,.1448,.2194,.0911,0.1577
 327,.2026,.1615,.2069,0.1577
 328,.1448,.1615,.1490,0.1577
 329,.1448,.1036,.1490,0.0998
 330,.1448,.1615,.1490,0.1577
 331,.0869,.1615,.0911,0.1577
 332,.1448,.1036,.1490,0.1577
 333,.2026,.1615,.1490,0.1577
 334,.1448,.1615,.1490,0.1577
 335,.1448,.1615,.1490,0.0998
 336,.1448,.1036,.2069,0.0998
 337,.1448,.1615,.0911,0.0998
 338,.0869,.1615,.1490,0.1577
 339,.1448,.1615,.0911,0.1577
 340,.2026,.1036,.1490,0.1577
 341,.1448,.1036,.0911,0.1577
 342,.1448,.1615,.1490,0.1577
 343,.1448,.1036,.0911,0.1577
 344,.2026,.1615,.1490,0.1577
 345,.0869,.1615,.1490,0.1577
 346,.1448,.1036,.1490,0.1577
 347,.1448,.1036,.1490,0.1577
 348,.0869,.1615,.0911,0.0998
 349,.1448,.1036,.0911,0.1577
 350,.1448,.1615,.1490,0.0998
 351,.1448,.1615,.1490,0.0998
 352,.1448,.1036,.1490,0.1577
 353,.2026,.1036,.0911,0.0998
 354,.2026,.1036,.1490,0.0998
 355,.1448,.1615,.1490,0.1577
 356,.1448,.1036,.1490,0.1577
 357,.1448,.1615,.0911,0.1577
 358,.1448,.1615,.0911,0.1577
 359,.0869,.1036,.1490,0.1577
 360,.1448,.1036,.1490,0.2156
 361,.1448,.1615,.1490,0.0998
 362,.1448,.1615,.1490,0.1577
 363,.2026,.2194,.1490,0.1577
 364,.1448,.1615,.0911,0.0998
 365,.1448,.1615,.1490,0.0998
 366,.1448,.1036,.1490,0.1577
 367,.1448,.1036,.2069,0.0998
 368,.0869,.1615,.0911,0.1577
 369,.0869,.1615,.1490,0.1577
 370,.1448,.1036,.1490,0.1577
 371,.1448,.1036,.1490,0.0998
 372,.1448,.1036,.1490,0.1577
 373,.1448,.1615,.0911,0.0998
 374,.1448,.1036,.0911,0.2156
 375,.0869,.1036,.1490,0.0998
 376,.1448,.1615,.0911,0.1577
 377,.0869,.1615,.0911,0.1577
 378,.1448,.1036,.2069,0.1577
 379,.1448,.1615,.1490,0.0998
 380,.0869,.1615,.1490,0.1577
 381,.1448,.1615,.0911,0.1577
 382,.0869,.1615,.1490,0.1577
 383,.0869,.1036,.1490,0.0998
 384,.1448,.1036,.2069,0.0998
 385,.1448,.1615,.1490,0.1577
 386,.1448,.1036,.2069,0.1577
 387,.2026,.1036,.0911,0.1577
 388,.2026,.1615,.1490,0.1577
 389,.1448,.1036,.1490,0.1577
 390,.1448,.1615,.0911,0.1577
 391,.1448,.1615,.0911,0.1577
 392,.1448,.1615,.0911,0.1577
 393,.0869,.1036,.0911,0.0998
 394,.1448,.1036,.1490,0.1577
 395,.1448,.1615,.1490,0.1577
 396,.0869,.1036,.1490,0.1577
 397,.1448,.1036,.0911,0.1577
 398,.1448,.1615,.2069,0.0998
 399,.1448,.1036,.1490,0.1577
 400,.1448,.1615,.1490,0.1577
 401,.2026,.1615,.0911,0.1577
 402,.1448,.1036,.2069,0.1577
 403,.0869,.1036,.2069,0.1577
 404,.0869,.1615,.1490,0.0998
 405,.1448,.1615,.2069,0.1577
 406,.1448,.1036,.0911,0.0998
 407,.0869,.1615,.2069,0.1577
 408,.1448,.1036,.1490,0.1577
 409,.1448,.1615,.0911,0.1577
 410,.1448,.1036,.1490,0.1577
 411,.0869,.1615,.0911,0.1577
 412,.1448,.1036,.1490,0.1577
 413,.2026,.1615,.0911,0.1577
 414,.1448,.1036,.1490,0.0998
 415,.2026,.1615,.1490,0.1577
 416,.1448,.1036,.1490,0.1577
 417,.1448,.1615,.0911,0.1577
 418,.1448,.1615,.1490,0.1577
 419,.1448,.1615,.2069,0.1577
 420,.1448,.1615,.0911,0.2156
 421,.1448,.1036,.1490,0.1577
 422,.2026,.1036,.1490,0.0998
 423,.1448,.1615,.1490,0.1577
 424,.1448,.1036,.2069,0.1577
 425,.1448,.1615,.1490,0.0998
 426,.1448,.2194,.1490,0.0998
 427,.2026,.1615,.1490,0.1577
 428,.1448,.1036,.1490,0.0998
 429,.0869,.1615,.1490,0.1577
 430,.1448,.1036,.1490,0.0998
 431,.1448,.1036,.0332,0.1577
 432,.0869,.1036,.0911,0.1577
 433,.0869,.1615,.1490,0.1577
